"term","estimate","std.error","statistic","p.value","significance","step","outcome","R2","R2_p_value","R2_annotated","N","R2_change","F_change","p_value","dataset","significance_d_cleaned","significance_d_with_outliers","significance_difference"
"Helicopter_parenting:Authoritarian_filial_piety","0.06",0.0600412706423956,0.935158487263089,0.350302075888683,"","Step 2","Relationship_initiation",0.05,0.00339713675877833,"0.05**",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"**","Step 2 vs Step 1","Relationship_initiation",NA,NA,NA,NA,"0.029**",5.688,0.004,"d_with_outliers","**","**","No"
"(Intercept)","0",0.0507971270903195,-3.97725933759343e-15,0.999999999999997,"","Step 1","Negative_assertion",0.01,0.138319912247256,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.1",0.0515680138615692,-1.8444447278813,0.0658944582354409,"","Step 1","Negative_assertion",0.01,0.138319912247256,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.04",0.0545828361793675,0.746368302155399,0.455905242426224,"","Step 1","Negative_assertion",0.01,0.138319912247256,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"Authoritarian_filial_piety","0.05",0.0545558852795164,0.893171498737047,0.372329142143741,"","Step 1","Negative_assertion",0.01,0.138319912247256,"0.01",385,NA,NA,NA,"d_with_outliers","","","No"
"(Intercept)","0",0.0517051958523149,0.0954119064070171,0.924038085649351,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.09",0.0523362666476005,-1.79575477989456,0.0733299427574003,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.04",0.0553082249571588,0.656718226644016,0.511760664901342,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Authoritarian_filial_piety","0.05",0.0549586898208175,0.943096709603502,0.346232218829511,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Reciprocal_filial_piety","0.03",0.0527822250277999,0.519374293966612,0.603802921607871,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting:Authoritarian_filial_piety","-0.02",0.0609843530897216,-0.405751670189221,0.685154041678361,"","Step 2","Negative_assertion",0.02,0.325672084918123,"0.02",385,NA,NA,NA,"d_with_outliers","","","No"
NA,NA,NA,NA,NA,"","Step 2 vs Step 1","Negative_assertion",NA,NA,NA,NA,"0.001",0.156,0.855,"d_with_outliers","","","No"
"(Intercept)","0",0.0497004761784895,-5.43131935686678e-15,0.999999999999996,"","Step 1","Emotional_support",0.06,6.04785886822839e-05,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Helicopter_parenting","-0.07",0.0504547204006615,-1.39847796280484,0.162783011776536,"","Step 1","Emotional_support",0.06,6.04785886822839e-05,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
"Reciprocal_filial_piety","0.23***",0.0534044562099661,4.31744528415414,2.01514911261752e-05,"***","Step 1","Emotional_support",0.06,6.04785886822839e-05,"0.06***",385,NA,NA,NA,"d_with_outliers","***","***","No"
"Authoritarian_filial_piety","-0.09",0.0533780871487068,-1.64452171028099,0.10089327806707,"","Step 1","Emotional_support",0.06,6.04785886822839e-05,"0.06***",385,NA,NA,NA,"d_with_outliers","","","No"
